X,NAME,INDEX,UNIT,MIN,MAX,DEPENDENCE,GROUP,TYPE
70,"critical vernalization temperature 1",84,Celsius,-5,5,0,9,1
71,"critical vernalization temperature 2",85,Celsius,0,10,1,9,1
72,"critical vernalization temperature 3",86,Celsius,5,15,2,9,1
73,"critical vernalization temperature 4",87,Celsius,10,20,3,9,1
74,"slope of relative vernalization development rate",88,dimless,0.04,0.04,NA,0,0
75,"required vernalization days (in vernalization development rate)",89,dimless,30,70,NA,0,0
76,"critical flowering heat stress temperature 1",91,Celsius,30,40,0,10,1
77,"critical flowering heat stress temperature 2",92,Celsius,30,50,1,10,1
78,"theoretical maximum of flowering thermal stress mortality",93,prop,0,0.4,NA,0,0
79,"VWC ratio to calc. soil moisture limit 1 (prop. to FC-WP)",96,prop,0.5,1,NA,0,0
80,"VWC ratio to calc. soil moisture limit 2 (prop. to SAT-FC)",97,prop,0.5,1,NA,0,0
81,"minimum of soil moisture limit2 multiplicator (full anoxic stress value)",98,prop,0,1,NA,0,0
82,"vapor pressure deficit: start of conductance reduction",99,Pa,500,1500,NA,0,0
83,"vapor pressure deficit: complete conductance reduction",100,Pa,1500,3500,NA,0,0
84,"maximum senescence mortality coefficient of aboveground plant material",101,prop,0,0.1,NA,0,0
85,"maximum senescence mortality coefficient of belowground plant material",102,prop,0,0.1,NA,0,0
86,"maximum senescence mortality coefficient of non-structured plant material",103,prop,0,0.1,NA,0,0
87,"lower limit extreme high temperature effect on senescence mortality",104,Celsius,30,40,NA,0,0
88,"upper limit extreme high temperature effect on senescence mortality",105,Celsius,30,50,NA,0,0
89,"turnover rate of wilted standing biomass to litter",106,prop,0,0.1,NA,0,0
90,"turnover rate of cut-down non-woody biomass to litter",107,prop,0,0.1,NA,0,0
91,"turnover rate of cut-down woody biomass to litter",108,prop,0,0.1,NA,0,0
92,"drought tolerance parameter (critical value of day since water stress)",109,n_day,0,100,NA,0,0
93,"crit. amount of snow limiting photosyn.",112,kg/m2,0,20,NA,0,0
94,"limit1 (under:full constrained) of HEATSUM index",113,Celsius,0,50,0,11,1
95,"limit2 (above:unconstrained) of HEATSUM index",114,Celsius,0,100,1,11,1
96,"limit1 (under:full constrained) of TMIN index",115,Celsius,-5,5,0,12,1
97,"limit2 (above:unconstrained) of TMIN index",116,Celsius,0,10,1,12,1
98,"limit1 (above:full constrained) of VPD index",117,Pa,2000,600,0,13,1
99,"limit2 (under:unconstrained) of VPD index",118,Pa,500,1500,1,13,1
100,"limit1 (under:full constrained) of DAYLENGTH index",119,s,0,0,0,14,1
101,"limit2 (above:unconstrained) of DAYLENGTH index",120,s,0,0,1,14,1
102,"moving average (to avoid the effects of extreme events)",121,n_day,2,20,NA,0,0
103,"GSI limit1 (greater that limit -> start of vegper)",122,dimless,0,0.2,NA,0,0
104,"GSI limit2 (less that limit -> end of vegper)",123,dimless,0,0.1,NA,0,0
105,"length of phenophase (GDD)-0",127.6,Celsius,0,10000,NA,0,0
106,"leaf ALLOCATION -0",128.6,prop,0,1,1,15,-3
107,"fine root ALLOCATION-0",129.6,prop,0,1,1,15,-3
108,"fruit ALLOCATION -0",130.6,prop,0,1,1,15,-3
109,"soft stem ALLOCATION-0",131.6,prop,0,1,1,15,-3
110,"live woody stem ALLOCATION -0",132.6,prop,0,1,1,15,-3
111,"dead woody stem ALLOCATION -0",133.6,prop,0,1,1,15,-3
112,"live coarse root ALLOCATION-0",134.6,prop,0,1,1,15,-3
113,"dead coarse root ALLOCATION -0",135.6,prop,0,1,1,15,-3
114,"canopy average specific leaf area-0",136.6,m2/kg,0,2,NA,0,0
115,"current growth proportion-0",137.6,prop,0,0,NA,0,0
116,"maximal lifetime of plant tissue-0",138.6,Celsius,1,20000,NA,0,0
105,"length of phenophase (GDD)-1",127.61,Celsius,0,10000,NA,0,0
106,"leaf ALLOCATION -1",128.61,prop,0,1,1,16,-3
107,"fine root ALLOCATION-1",129.61,prop,0,1,1,16,-3
108,"fruit ALLOCATION -1",130.61,prop,0,1,1,16,-3
109,"soft stem ALLOCATION-1",131.61,prop,0,1,1,16,-3
110,"live woody stem ALLOCATION -1",132.61,prop,0,1,1,16,-3
111,"dead woody stem ALLOCATION -1",133.61,prop,0,1,1,16,-3
112,"live coarse root ALLOCATION-1",134.61,prop,0,1,1,16,-3
113,"dead coarse root ALLOCATION -1",135.61,prop,0,1,1,16,-3
114,"canopy average specific leaf area-1",136.61,m2/kg,0,2,NA,0,0
115,"current growth proportion-1",137.61,prop,0,0,NA,0,0
116,"maximal lifetime of plant tissue-1",138.61,Celsius,1,20000,NA,0,0
105,"length of phenophase (GDD)-2",127.62,Celsius,0,10000,NA,0,0
106,"leaf ALLOCATION -2",128.62,prop,0,1,1,17,-3
107,"fine root ALLOCATION-2",129.62,prop,0,1,1,17,-3
108,"fruit ALLOCATION -2",130.62,prop,0,1,1,17,-3
109,"soft stem ALLOCATION-2",131.62,prop,0,1,1,17,-3
110,"live woody stem ALLOCATION -2",132.62,prop,0,1,1,17,-3
111,"dead woody stem ALLOCATION -2",133.62,prop,0,1,1,17,-3
112,"live coarse root ALLOCATION-2",134.62,prop,0,1,1,17,-3
113,"dead coarse root ALLOCATION -2",135.62,prop,0,1,1,17,-3
114,"canopy average specific leaf area-2",136.62,m2/kg,0,2,NA,0,0
115,"current growth proportion-2",137.62,prop,0,0,NA,0,0
116,"maximal lifetime of plant tissue-2",138.62,Celsius,1,20000,NA,0,0
105,"length of phenophase (GDD)-3",127.63,Celsius,0,10000,NA,0,0
106,"leaf ALLOCATION -3",128.63,prop,0,1,1,18,-3
107,"fine root ALLOCATION-3",129.63,prop,0,1,1,18,-3
108,"fruit ALLOCATION -3",130.63,prop,0,1,1,18,-3
109,"soft stem ALLOCATION-3",131.63,prop,0,1,1,18,-3
110,"live woody stem ALLOCATION -3",132.63,prop,0,1,1,18,-3
111,"dead woody stem ALLOCATION -3",133.63,prop,0,1,1,18,-3
112,"live coarse root ALLOCATION-3",134.63,prop,0,1,1,18,-3
113,"dead coarse root ALLOCATION -3",135.63,prop,0,1,1,18,-3
114,"canopy average specific leaf area-3",136.63,m2/kg,0,2,NA,0,0
115,"current growth proportion-3",137.63,prop,0,0,NA,0,0
116,"maximal lifetime of plant tissue-3",138.63,Celsius,1,20000,NA,0,0
105,"length of phenophase (GDD)-4",127.64,Celsius,0,10000,NA,0,0
106,"leaf ALLOCATION -4",128.64,prop,0,1,1,19,-3
107,"fine root ALLOCATION-4",129.64,prop,0,1,1,19,-3
108,"fruit ALLOCATION -4",130.64,prop,0,1,1,19,-3
109,"soft stem ALLOCATION-4",131.64,prop,0,1,1,19,-3
110,"live woody stem ALLOCATION -4",132.64,prop,0,1,1,19,-3
111,"dead woody stem ALLOCATION -4",133.64,prop,0,1,1,19,-3
112,"live coarse root ALLOCATION-4",134.64,prop,0,1,1,19,-3
113,"dead coarse root ALLOCATION -4",135.64,prop,0,1,1,19,-3
114,"canopy average specific leaf area-4",136.64,m2/kg,0,2,NA,0,0
115,"current growth proportion-4",137.64,prop,0,0,NA,0,0
116,"maximal lifetime of plant tissue-4",138.64,Celsius,1,20000,NA,0,0
105,"length of phenophase (GDD)-5",127.65,Celsius,0,10000,NA,0,0
106,"leaf ALLOCATION -5",128.65,prop,0,1,1,20,-3
107,"fine root ALLOCATION-5",129.65,prop,0,1,1,20,-3
108,"fruit ALLOCATION -5",130.65,prop,0,1,1,20,-3
109,"soft stem ALLOCATION-5",131.65,prop,0,1,1,20,-3
110,"live woody stem ALLOCATION -5",132.65,prop,0,1,1,20,-3
111,"dead woody stem ALLOCATION -5",133.65,prop,0,1,1,20,-3
112,"live coarse root ALLOCATION-5",134.65,prop,0,1,1,20,-3
113,"dead coarse root ALLOCATION -5",135.65,prop,0,1,1,20,-3
114,"canopy average specific leaf area-5",136.65,m2/kg,0,2,NA,0,0
115,"current growth proportion-5",137.65,prop,0,0,NA,0,0
116,"maximal lifetime of plant tissue-5",138.65,Celsius,1,20000,NA,0,0
105,"length of phenophase (GDD)-6",127.6,Celsius,0,10000,NA,0,0
106,"leaf ALLOCATION -6",128.66,prop,0,1,1,21,-3
107,"fine root ALLOCATION-6",129.66,prop,0,1,1,21,-3
108,"fruit ALLOCATION -6",130.66,prop,0,1,1,21,-3
109,"soft stem ALLOCATION-6",131.66,prop,0,1,1,21,-3
110,"live woody stem ALLOCATION -6",132.66,prop,0,1,1,21,-3
111,"dead woody stem ALLOCATION -6",133.66,prop,0,1,1,21,-3
112,"live coarse root ALLOCATION-6",134.66,prop,0,1,1,21,-3
113,"dead coarse root ALLOCATION -6",135.66,prop,0,1,1,21,-3
114,"canopy average specific leaf area-6",136.66,m2/kg,0,2,NA,0,0
115,"current growth proportion-6",137.66,prop,0,0,NA,0,0
116,"maximal lifetime of plant tissue-6",138.66,Celsius,1,20000,NA,0,0
