  yyyy      mm      dd         NEE         GPP         TER          LE    flag
  2012       5      18      -2.892       8.133       5.241       1.827       0
  2012       5      19      -3.103       9.789       6.686       2.036       0
  2012       5      20      -3.446      10.774       7.328       1.722       0
  2012       5      21      -1.290       8.958       7.668       0.755       0
  2012       5      22       2.787       3.587       6.373       1.697       0
  2012       5      23      -0.447       9.872       9.425       1.763       0
  2012       5      24       0.187      10.434      10.622       2.221       0
  2012       5      25      -1.949      10.115       8.166       2.603       0
  2012       5      26       0.660       5.055       5.715       1.618       0
  2012       5      27       2.652       3.893       6.545       1.588       0
  2012       5      28       1.376       4.117       5.492       0.978       0
  2012       5      29       1.416       4.619       6.035       1.400       0
  2012       5      30       2.294       4.686       6.981       1.480       0
  2012       5      31       4.244       2.414       6.659       1.549       0
  2012       6       1       5.654       1.717       7.371       1.859       0
  2012       6       2      -0.535       6.426       5.891       0.618       0
  2012       6       3      -2.344      10.030       7.686       2.302       0
  2012       6       4       1.526       5.390       6.916       1.171       0
  2012       6       5       3.911       2.762       6.673       1.908       0
  2012       6       6      -2.767       7.480       4.713       1.747       0
  2012       6       7      -0.002       5.994       5.993       2.189       0
  2012       6       8      -1.293       8.200       6.907       2.516       0
  2012       6       9       2.902       3.437       6.339       0.607       0
  2012       6      10       1.859       5.307       7.167       1.120       0
  2012       6      11       2.909       4.120       7.030       0.814       0
  2012       6      12       1.635       7.776       9.411       0.162       0
  2012       6      13       3.300       9.112      12.413       1.079       0
  2012       6      14      -0.500      13.424      12.924       2.230       0
  2012       6      15      -0.555      13.719      13.164       2.650       0
  2012       6      16      -2.240      15.315      13.075       2.788       0
  2012       6      17      -3.710      15.421      11.711       3.815       0
  2012       6      18      -1.316      13.615      12.299       3.467       0
  2012       6      19   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       6      20       0.835       9.146       9.981       2.682       0
  2012       6      21      -3.757      11.764       8.007       2.801       0
  2012       6      22      -3.178       9.991       6.813       1.756       0
  2012       6      23      -2.973      11.667       8.695       2.479       0
  2012       6      24      -1.681       8.276       6.595       2.378       0
  2012       6      25       1.698       4.862       6.559       0.469       0
  2012       6      26      -0.333       8.257       7.924       2.947       0
  2012       6      27      -1.240       9.078       7.839       2.568       0
  2012       6      28      -2.438       8.591       6.153       2.323       0
  2012       6      29      -0.041       6.786       6.745       2.320       0
  2012       6      30   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       7       1   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       7       2   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       7       3   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       7       4      -1.694       7.565       5.871       2.055       0
  2012       7       5   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       7       6   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       7       7   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       7       8   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       7       9       0.081       8.633       8.714       1.883       0
  2012       7      10       5.480       4.571      10.050       2.978       0
  2012       7      11       3.540       6.345       9.885       2.251       0
  2012       7      12       3.573       6.518      10.092       2.055       0
  2012       7      13       0.738       6.337       7.074       0.663       0
  2012       7      14       2.392       5.352       7.744       1.730       0
  2012       7      15       2.621       3.246       5.867       0.517       0
  2012       7      16       0.002       5.766       5.768       2.395       0
  2012       7      17       2.181       4.233       6.414       2.290       0
  2012       7      18       0.333       5.522       5.855       2.121       0
  2012       7      19       2.896       4.745       7.641       1.881       0
  2012       7      20      -4.409      12.188       7.779       2.913       0
  2012       7      21       2.161       4.473       6.635       0.085       0
  2012       7      22      -1.966       9.473       7.507       1.158       0
  2012       7      23      -3.943      12.987       9.044       2.395       0
  2012       7      24      -1.126      11.111       9.984       1.840       0
  2012       7      25       0.630       9.271       9.901       1.197       0
  2012       7      26       0.641      10.025      10.666       2.289       0
  2012       7      27      -3.677      14.036      10.359       3.401       0
  2012       7      28       4.881       6.944      11.825       2.951       0
  2012       7      29      -0.567      10.221       9.654       2.393       0
  2012       7      30      -5.159      13.376       8.217       2.932       0
  2012       7      31      -1.854      11.970      10.116       2.514       0
  2012       8       1      -2.916      12.214       9.298       3.764       0
  2012       8       2       0.390       8.301       8.691       2.852       0
  2012       8       3      -3.120      12.612       9.492       2.479       0
  2012       8       4      -0.243       9.906       9.662       3.369       0
  2012       8       5       0.921       7.809       8.730       2.621       0
  2012       8       6       1.958       7.150       9.108       2.832       0
  2012       8       7      -3.802      12.456       8.654       2.834       0
  2012       8       8      -3.271      10.859       7.588       1.917       0
  2012       8       9      -2.539      10.918       8.379       1.708       0
  2012       8      10      -4.573      13.220       8.647       2.166       0
  2012       8      11      -1.417       7.881       6.464       0.969       0
  2012       8      12      -5.064      11.249       6.185       2.064       0
  2012       8      13      -3.401      10.948       7.547       1.999       0
  2012       8      14      -4.735      11.421       6.685       2.658       0
  2012       8      15      -1.630       9.253       7.623       2.609       0
  2012       8      16      -0.523       9.221       8.698       2.449       0
  2012       8      17       1.732       5.620       7.352       1.526       0
  2012       8      18       1.792       5.627       7.419       1.600       0
  2012       8      19       1.106       5.309       6.415       1.804       0
  2012       8      20   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       8      21      -1.427       6.966       5.539       1.564       0
  2012       8      22   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       8      23       1.842       3.369       5.211       1.107       0
  2012       8      24   -9999.000   -9999.000   -9999.000   -9999.000       1
  2012       8      25       0.752       4.044       4.796       1.564       0
  2012       8      26       3.442       2.638       6.080       0.522       0
  2012       8      27       4.227       2.070       6.297       1.209       0
  2012       8      28       2.774       2.543       5.317       0.935       0
  2012       8      29       0.889       6.332       7.221       1.144       0
  2012       8      30       1.106       5.600       6.705       0.831       0
  2012       8      31       1.499       4.726       6.225       0.397       0
  2012       9       1       5.480       0.607       6.087       0.086       0
  2012       9       2       4.770       3.085       7.854       1.212       0
  2012       9       3       1.925       4.683       6.608       1.032       0
  2012       9       4       1.147       4.621       5.768       0.847       0
  2012       9       5       0.741       4.361       5.102       1.092       0
  2012       9       6       0.236       3.269       3.505       0.792       0
  2012       9       7       0.763       2.721       3.484       0.940       0
  2012       9       8       1.173       3.364       4.537       1.023       0
  2012       9       9       0.653       4.112       4.765       1.027       0
  2012       9      10       0.912       4.461       5.373       0.874       0
  2012       9      11       1.132       4.765       5.898       0.767       0
  2012       9      12       1.016       5.574       6.589       0.666       0
  2012       9      13       4.085       0.392       4.477       0.011       0
  2012       9      14       3.004       2.271       5.276       0.517       0
  2012       9      15       2.511       3.204       5.715       0.893       0
  2012       9      16       1.539       4.356       5.896       0.949       0
  2012       9      17       1.364       4.156       5.520       1.255       0
  2012       9      18       2.299       4.659       6.957       0.954       0
  2012       9      19       0.491       5.345       5.836       0.542       0
  2012       9      20       1.374       4.325       5.699       1.097       0
  2012       9      21       0.522       3.115       3.637       0.972       0
  2012       9      22       0.051       3.473       3.524       1.001       0
  2012       9      23      -0.100       2.702       2.602       0.878       0
  2012       9      24       0.966       2.419       3.385       0.719       0
  2012       9      25       1.793       2.237       4.030       1.720       0
  2012       9      26       1.756       2.586       4.342       1.772       0
  2012       9      27       0.954       3.168       4.122       0.882       0
  2012       9      28       0.857       3.393       4.250       1.065       0
  2012       9      29       1.165       3.372       4.537       0.451       0
  2012       9      30      -0.759       5.569       4.811       0.830       0
  2012      10       1       0.207       4.616       4.823       0.919       0
  2012      10       2       2.516       1.735       4.251       0.041       0
  2012      10       3      -1.047       4.089       3.042       0.614       0
  2012      10       4      -1.631       4.975       3.343       0.784       0
  2012      10       5      -1.277       4.647       3.369       0.901       0
  2012      10       6      -1.711       5.633       3.922       0.899       0
  2012      10       7      -1.559       5.570       4.011       0.717       0
  2012      10       8      -2.029       5.085       3.056       0.904       0
  2012      10       9      -1.604       5.274       3.671       0.692       0
  2012      10      10       0.803       1.903       2.705       0.122       0
  2012      10      11      -2.131       4.498       2.367       0.456       0
  2012      10      12       0.644       2.323       2.966       0.063       0
  2012      10      13       0.037       2.745       2.783       0.162       0
  2012      10      14      -1.170       4.054       2.884       0.115       0
  2012      10      15      -2.453       5.964       3.511       0.608       0
  2012      10      16       0.666       1.569       2.235       0.361       0
  2012      10      17      -2.423       5.213       2.790       0.140       0
  2012      10      18      -2.999       7.236       4.237       0.575       0
  2012      10      19      -2.974       6.842       3.869       0.509       0
  2012      10      20      -0.961       6.009       5.047       0.313       0
  2012      10      21      -1.929       6.137       4.208       0.308       0
  2012      10      22      -1.843       7.383       5.540       0.478       0
  2012      10      23       0.129       4.387       4.516       0.030       0
  2012      10      24       1.710       3.265       4.975       0.073       0
  2012      10      25       1.606       3.260       4.866       0.060       0
  2012      10      26       0.887       2.925       3.811       0.051       0
  2012      10      27      -1.423       4.769       3.346       0.060       0
  2012      10      28       0.073       2.014       2.088       0.099       0
  2012      10      29       0.697       0.838       1.535       0.002       0
  2012      10      30      -0.362       1.947       1.585       0.214       0
  2012      10      31      -0.675       2.402       1.727       0.288       0
  2012      11       1       0.985       0.571       1.556       0.159       0
  2012      11       2       0.282       1.449       1.731       0.123       0
  2012      11       3      -1.547       3.771       2.224       0.479       0
  2012      11       4      -1.364       4.402       3.038       0.569       0
  2012      11       5       1.604       0.670       2.273       0.159       0
  2012      11       6       0.679       2.410       3.089       0.170       0
  2012      11       7      -0.727       2.904       2.176       0.374       0
  2012      11       8      -0.928       3.313       2.385       0.377       0
  2012      11       9      -0.790       2.533       1.743       0.293       0
  2012      11      10      -0.660       2.691       2.031       0.184       0
  2012      11      11      -0.739       2.588       1.850       0.136       0
  2012      11      12       2.039       0.224       2.263       0.002       0
  2012      11      13       1.237       2.104       3.341       0.052       0
  2012      11      14       0.073       2.379       2.452       0.243       0
  2012      11      15      -1.381       3.138       1.757       0.207       0
  2012      11      16       0.103       1.772       1.875       0.067       0
  2012      11      17      -0.843       2.621       1.778       0.094       0
  2012      11      18       0.383       1.353       1.736       0.017       0
  2012      11      19       1.891       0.365       2.256       0.007       0
  2012      11      20       0.456       1.504       1.960       0.027       0
  2012      11      21       0.973       1.028       2.002       0.011       0
  2012      11      22       1.407       0.499       1.905       0.014       0
  2012      11      23       0.676       1.122       1.798       0.011       0
  2012      11      24      -0.320       2.203       1.883       0.023       0
  2012      11      25       0.519       1.067       1.586       0.024       0
  2012      11      26       0.191       1.449       1.640       0.067       0
  2012      11      27      -0.142       2.655       2.512       0.536       0
  2012      11      28      -0.100       2.787       2.686       0.361       0
  2012      11      29      -0.291       2.827       2.536       0.099       0
  2012      11      30       1.480       0.791       2.271       0.216       0
  2012      12       1      -0.573       1.355       0.782       0.104       0
  2012      12       2       1.006       0.284       1.290       0.009       0
  2012      12       3       0.518       1.285       1.803       0.211       0
  2012      12       4       0.150       1.210       1.360       0.035       0
  2012      12       5       0.435       1.623       2.058       0.033       0
  2012      12       6       0.319       0.842       1.161       0.022       0
  2012      12       7       0.430       0.904       1.334       0.080       0
  2012      12       8       1.286       0.000       1.286       0.012       0
  2012      12       9       0.610       0.205       0.815       0.104       0
  2012      12      10       0.676       0.293       0.969       0.087       0
  2012      12      11       0.656       0.223       0.878       0.034       0
  2012      12      12       0.418       0.242       0.660       0.101       0
  2012      12      13       0.494       0.000       0.494       0.042       0
  2012      12      14       0.662       0.316       0.978       0.005       0
  2012      12      15       0.458       0.707       1.164       0.006       0
  2012      12      16       0.185       0.889       1.073       0.005       0
  2012      12      17       0.743       0.345       1.088       0.044       0
  2012      12      18       0.764       0.111       0.875       0.009       0
  2012      12      19       0.554       0.677       1.231       0.044       0
  2012      12      20       0.308       0.775       1.083       0.028       0
  2012      12      21       0.439       0.496       0.934       0.044       0
  2012      12      22       0.141       0.800       0.941       0.005       0
  2012      12      23       0.146       0.846       0.992       0.044       0
  2012      12      24      -0.763       1.761       0.999       0.066       0
  2012      12      25       0.390       1.345       1.735       0.131       0
  2012      12      26       1.101       0.369       1.470       0.015       0
  2012      12      27      -0.462       1.742       1.280       0.048       0
  2012      12      28       0.525       0.520       1.045       0.044       0
  2012      12      29      -0.086       0.827       0.740       0.060       0
  2012      12      30      -0.044       0.648       0.604       0.056       0
  2012      12      31      -0.040       0.731       0.692       0.092       0
